title,pictureURLLarge,converted_price,brand,profit,ROI
benchmade 560bk-1 freek nice preowned user cpm m-4 red anodized thumb studs,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/OzQAAOSwdI1jZMBw/$_1.JPG,210.0,benchmade,134.7,280.625
benchmade tengu flipper lnib,https://i.ebayimg.com/00/s/MTI2MlgxNjAw/z/kL8AAOSwTyZjt5GA/$_1.JPG,230.0,benchmade,152.1,316.875
benchmade 940-2001 osborne limited titanium s90v,https://i.ebayimg.com/00/s/NzIxWDE2MDA=/z/CeQAAOSwMphjvf3p/$_1.JPG,457.0,benchmade,349.59,728.3124999999999
benchmade rukus 610bk w/lone wolf knives harsey tactical sheath rare/discontinue,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/T8sAAOSwgDhjjPXj/$_1.JPG,699.99,benchmade,560.9913,1168.7318750000004
benchmade proper 2.86 inch folding knife carbon fiber s90v,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/KzUAAOSwgjhjuzYk/$_1.JPG,183.0,benchmade,111.21,231.6875
vintage benchmade / bali-song knife large ats-34 very good condition,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/B6sAAOSwBApjkX9i/$_1.JPG,350.0,benchmade,256.5,534.375
"vintage benchmade 806d2 afck axis 3.94"" d2 black g10 large folding knife nos",https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/YlIAAOSwMmNjsNrt/$_1.JPG,525.0,benchmade,408.75,851.5625
benchmade harley davidson nightshift,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/p9gAAOSwy-FjrLRU/$_1.JPG,350.0,benchmade,256.5,534.375
benchmade 551 griptilian black blade/green handle - factory restored,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/kpoAAOSwW0NjTwd0/$_1.JPG,114.98,benchmade,52.0326,108.40125
benchmade bugout 535-2002 20cv — new sealed in box,https://i.ebayimg.com/00/s/ODAwWDcxMQ==/z/ZpQAAOSwsAliXv2s/$_1.JPG,249.99,benchmade,169.4913,353.106875
benchmade 800s 'afck' rare ats-34 steel. original circa 1999! (discontinued),https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/tGQAAOSwo4ZjvOH3/$_1.JPG,349.0,benchmade,255.63,532.5625
benchmade bugout 535-3 - great condition collector owned - used,https://i.ebayimg.com/00/s/ODAwWDEyMDA=/z/c8QAAOSwMc9jvXSQ/$_1.JPG,189.99,benchmade,117.2913,244.35687500000003
benchmade 910sbk stryker limited edition. vintage and rare! titanium liner. 🇺🇸,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/FvEAAOSw9lFjfqV6/$_1.JPG,479.0,benchmade,368.73,768.1875000000001
benchmade d2 adamas,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/s5AAAOSwUMRjs3i~/$_1.JPG,220.0,benchmade,143.4,298.75
benchmade bradley cutlery alias ii 17650bt-701 blue titanium s30v folding knife,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/VUIAAOSwAeFh0SR3/$_1.JPG,295.0,benchmade,208.65,434.6875
benchmade usa bali-song black micarta tactical liner lock knife ats-34 discon.,https://i.ebayimg.com/00/s/OTY3WDkwNw==/z/RpQAAOSwjpRjuwbS/$_1.JPG,130.0,benchmade,65.1,135.625
benchmade knives 635 mini skirmish s30v knife 0371/1000 1st production,https://i.ebayimg.com/00/s/ODk4WDExOTg=/z/~3sAAOSwXu1jciEs/$_1.JPG,835.0,benchmade,678.45,1413.4375
benchmade 482 megumi shoki nak-lok nakamura s30v carbon fiber/cocobolo wood.🌠,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/ao8AAOSwFzRjvR9l/$_1.JPG,579.0,benchmade,455.73,949.4375
benchmade lfti 760bk ti monolock tanto blade/titanium scales rare discontinued!,https://i.ebayimg.com/00/s/MTI0MVgxNTE4/z/GdYAAOSwnp5jPIx~/$_1.JPG,400.0,benchmade,300.0,625.0
