Image,title,title2,avg_price,avg_shipping,url
https://i.ebayimg.com/00/s/MTYwMFgxNTA4/z/ylgAAOSwFYxit1lM/$_12.JPG?set_id=880000500F,,"RARE ""BUCK"" 560 - USA - Lock back - TITANIUM - Pocket Knife",$167.00,$0.00,https://www.ebay.com/itm/125386816434?nordt=true&orig_cvip=true&rt=nc
https://i.ebayimg.com/00/s/MTE0NFgxMjAw/z/iCoAAOSwethisUZy/$_12.JPG?set_id=880000500F,,VINTAGE INVERTED BUCK USA 1968-70 110 WOOD LOCKBACK FOLDING HUNTER KNIFE Origina,$129.99,$8.95,https://www.ebay.com/itm/125391392391?nordt=true&orig_cvip=true&rt=nc
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/9sAAAOSwurdiwe5b/$_57.JPG?set_id=8800005007,, Buck 305 USA 2-Blade Pocket Knife USA,$10.50,$4.95,https://www.ebay.com/itm/125399435750?nordt=true&orig_cvip=true&rt=nc
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/TisAAOSwVeFitKU4/$_57.JPG?set_id=8800005007,,Buck 889 Strider Pocket Black 420HC Knife,$450.00,$30.00,https://www.ebay.com/itm/125407444151?nordt=true&orig_cvip=true&rt=nc
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/LRsAAOSwClJivKEj/$_12.JPG?set_id=880000500F,,VINTAGE BUCK 500 DUKE BURGUNDY MICARTA HANDLE LOCKBACK FOLDING POCKET KNIFE ,$40.00,$5.30,https://www.ebay.com/itm/125415348750?nordt=true&orig_cvip=true&rt=nc
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/oT0AAOSwIS5i1cKz/$_12.JPG?set_id=880000500F,,VINTAGE BUCK FOLDING KNIFE MODEL 112 MARK V,$29.60,$5.40,https://www.ebay.com/itm/125422588085?nordt=true&orig_cvip=true&rt=nc
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/v-QAAOSwRepi7WZa/$_12.JPG?set_id=880000500F,,BUCK 450C COMBO EDGE LOCKBACK FOLDING POCKET KNIFE ,$19.00,$5.30,https://www.ebay.com/itm/125461229754?nordt=true&orig_cvip=true&rt=nc
https://thumbs.ebaystatic.com/pict/1339497248496464_1.jpg,"Buck 501 Pocket Knife, pre-85, Cursive Logo, FREE shipping",,$30.00,$0.00,
https://thumbs.ebaystatic.com/pict/1340016354546464_1.jpg,#139 Black 2021 Buck 284 Bantam BBW USA Lockback Knife ,,$13.05,$0.00,
https://thumbs.ebaystatic.com/pict/1340055006646464_1.jpg,"Buck   283 Nano Pink /  Small Lockback Pocket Folding Knife, usa",,$12.00,$4.95,
https://thumbs.ebaystatic.com/pict/1340156808116464_1.jpg,#325 2017 Buck 375 Deuce Two-Bladed Pocket Knife ,,$12.50,$0.00,
https://thumbs.ebaystatic.com/pict/1340189808126464_1.jpg,Buck 389 Canoe Traditional Multi-Blade Folding Pocket Knife wood Handle,,$15.50,$0.00,
https://thumbs.ebaystatic.com/pict/1340197821136464_1.jpg," VINTAGE "" I Got This From Buck "" Pocket Knife",,$1.00,$4.39,
https://thumbs.ebaystatic.com/pict/1340225144316464_1.jpg,#417 Black 2018 Buck 112 Bucklite Folding Hunting Lockback Knife USA,,$32.01,$0.00,
https://thumbs.ebaystatic.com/pict/1340247367646464_1.jpg,Buck Knifes USA 278 Alpha Hunter Knife with Guthook,,$75.00,$0.00,
https://thumbs.ebaystatic.com/pict/1340353192676464_1.jpg,Vintage 1987 Buck (Bucklite) No. 422 Lockback Pocket Knife With Case Made in USA,,$24.00,$6.95,
https://thumbs.ebaystatic.com/pict/1340362972666464_1.jpg,#411 UNION SPORTSMANS ALLIANCE 2020 Buck 284 Bantam BBW USA Lockback Knife ,,$15.09,$0.00,
https://thumbs.ebaystatic.com/pict/1340386942726464_1.jpg,#629 Black 2017 Buck Bucklite 482 Max Medium USA Lockback Knife,,$16.00,$0.00,
https://thumbs.ebaystatic.com/pict/1340390568486464_1.jpg,BUCK USA Folding Hunter Knife 110 nm VINTAGE 4 Dot 1980s Hunting Lockback Sheath,,$45.00,$0.00,
https://thumbs.ebaystatic.com/pict/1340467808406464_1.jpg,Buck Bucklite 424  Folding Knife,,$3.49,$4.50,
https://thumbs.ebaystatic.com/pict/1340501027456464_1.jpg,"Vintage, 1998, Buck 446, Folding, Pocket Knife - Goliath Lockback Hunter USA  27",,$32.00,$5.25,
https://thumbs.ebaystatic.com/pict/1340547292346464_1.jpg,NOS Vintage (1991-1998) Swiss Buck Trekker Knife,,$15.00,$11.60,
https://thumbs.ebaystatic.com/pict/1340623558586464_1.jpg,"Vintage 2003, Buck 525, Folding Pocket Knife, USA, Eagle, Chuck & CJ Autograph 3",,$58.00,$5.00,
https://thumbs.ebaystatic.com/pict/1340623920476464_1.jpg,BUCK USA 290 KNIFE. SILVER,,$54.99,$4.00,
https://thumbs.ebaystatic.com/pict/1340680882896464_1.jpg,Vintage Buck 110 Lockback Folding Knife USA,,$28.00,$5.72,
https://thumbs.ebaystatic.com/pict/1340684129606464_1.jpg,Buck 373 Trio Wood Handle Folding Pocket Knife ,,$15.00,$5.00,
https://thumbs.ebaystatic.com/pict/1340684388316464_1.jpg,"Vintage 2004, Buck 525, Folding, Pocket Knife, USA, Eagle & Flag      10",,$29.75,$4.65,
https://thumbs.ebaystatic.com/pict/1340699603126464_1.jpg,#23 Black/Gray 2017 Buck 780 Exert LinerLock Knife,,$12.05,$0.00,
https://thumbs.ebaystatic.com/pict/1340751922696464_1.jpg,Buck Trekker 736 Folding Pocket Knife,,$10.00,$5.25,
https://thumbs.ebaystatic.com/pict/1340786043186464_1.jpg,Buck Shot Knife,,$4.76,$5.30,
https://thumbs.ebaystatic.com/pict/1340791482186464_1.jpg,Buck Knife 506 USA Pre Owned Pocket Knife Rare,,$75.00,$0.00,
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/6skAAOSwQ0xiUQ9K/$_12.JPG?set_id=880000500F,,Buck Knife 303 Cadet Three Blade Knife - Vintage Pre Owned,$14.00,$0.00,https://www.ebay.com/itm/134080258474?nordt=true&orig_cvip=true&rt=nc
https://thumbs.ebaystatic.com/pict/1341099664656464_1.jpg,#421 Camo Silver/Black 2014 Buck 285 Bantam BLW USA Lockback Knife W/Pocket Clip,,$22.75,$0.00,
https://thumbs.ebaystatic.com/pict/1341148989556464_1.jpg,"BUCK 419 Tactical Knife, Wood Handles, 2009, Folding Kalinga, Orig. Sheath & Box",,$202.50,$5.00,
https://thumbs.ebaystatic.com/pict/1341240214666464_1.jpg,2007 Buck 110 Folding Pocket Knife with Leather Sheath,,$31.00,$4.00,
https://thumbs.ebaystatic.com/pict/1341312318426464_1.jpg,BUCK 425X USA FOLDING KNIFE. ,,$14.50,$4.00,
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/ZysAAOSwYaRisjKS/$_12.JPG?set_id=880000500F,,buck 110 custom knife,$150.00,$11.60,https://www.ebay.com/itm/134152676180?nordt=true&orig_cvip=true&rt=nc
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/wggAAOSwsaliuLlJ/$_57.JPG?set_id=8800005007,,#76 Black 2016 Buck Vantage Select Liner Lock Knife W/Pocket Clip USA,$14.73,$0.00,https://www.ebay.com/itm/134156940660?nordt=true&orig_cvip=true&rt=nc
